ID операции,Дата,Артикул,ID производственной базы,"Количество, кг",Тип операции
1,1.8.2021,1,П5,27,Поступило с производства
2,1.8.2021,1,П9,18,Поступило с производства
3,1.8.2021,5,П15,21,Выдано покупателю
4,1.8.2021,5,П9,36,Поступило с производства
5,1.8.2021,13,П16,8,Выдано покупателю
6,1.8.2021,17,П6,24,Поступило с производства
7,1.8.2021,19,П5,50,Выдано покупателю
8,1.8.2021,24,П15,44,Поступило с производства
9,1.8.2021,29,П5,13,Поступило с производства
10,1.8.2021,32,П15,15,Поступило с производства
11,1.8.2021,33,П1,13,Выдано покупателю
12,1.8.2021,35,П2,25,Выдано покупателю
13,1.8.2021,40,П1,44,Выдано покупателю
14,1.8.2021,40,П4,24,Выдано покупателю
15,1.8.2021,41,П10,26,Поступило с производства
16,1.8.2021,42,П10,21,Выдано покупателю
17,1.8.2021,47,П11,15,Выдано покупателю
18,1.8.2021,47,П15,21,Поступило с производства
19,1.8.2021,50,П4,24,Поступило с производства
20,1.8.2021,51,П3,20,Поступило с производства
21,1.8.2021,53,П11,47,Выдано покупателю
22,1.8.2021,53,П12,13,Поступило с производства
23,1.8.2021,54,П10,7,Поступило с производства
24,1.8.2021,58,П9,36,Выдано покупателю
25,1.8.2021,59,П6,39,Выдано покупателю
26,1.8.2021,63,П13,43,Выдано покупателю
27,2.8.2021,6,П1,21,Поступило с производства
28,2.8.2021,7,П5,17,Поступило с производства
29,2.8.2021,7,П8,30,Выдано покупателю
30,2.8.2021,10,П14,32,Поступило с производства
31,2.8.2021,10,П15,47,Поступило с производства
32,2.8.2021,12,П11,26,Поступило с производства
33,2.8.2021,13,П8,28,Поступило с производства
34,2.8.2021,15,П1,26,Поступило с производства
35,2.8.2021,20,П11,47,Поступило с производства
36,2.8.2021,21,П12,25,Выдано покупателю
37,2.8.2021,21,П3,8,Поступило с производства
38,2.8.2021,21,П4,16,Поступило с производства
39,2.8.2021,23,П1,38,Поступило с производства
40,2.8.2021,33,П3,7,Поступило с производства
41,2.8.2021,35,П8,19,Поступило с производства
42,2.8.2021,40,П16,39,Выдано покупателю
43,2.8.2021,41,П12,49,Поступило с производства
44,2.8.2021,42,П11,14,Выдано покупателю
45,2.8.2021,43,П2,46,Поступило с производства
46,2.8.2021,44,П1,49,Поступило с производства
47,2.8.2021,45,П8,46,Поступило с производства
48,2.8.2021,49,П4,38,Поступило с производства
49,2.8.2021,49,П7,29,Выдано покупателю
50,2.8.2021,49,П8,30,Поступило с производства
51,2.8.2021,50,П11,20,Поступило с производства
52,2.8.2021,60,П15,42,Выдано покупателю
53,2.8.2021,62,П4,39,Поступило с производства
54,2.8.2021,64,П15,27,Поступило с производства
55,3.8.2021,1,П14,16,Выдано покупателю
56,3.8.2021,1,П2,39,Поступило с производства
57,3.8.2021,6,П8,23,Поступило с производства
58,3.8.2021,9,П10,36,Поступило с производства
59,3.8.2021,9,П14,25,Поступило с производства
60,3.8.2021,10,П15,32,Поступило с производства
61,3.8.2021,11,П4,11,Выдано покупателю
62,3.8.2021,11,П8,9,Поступило с производства
63,3.8.2021,14,П5,36,Выдано покупателю
64,3.8.2021,15,П1,19,Выдано покупателю
65,3.8.2021,15,П12,49,Поступило с производства
66,3.8.2021,16,П12,5,Поступило с производства
67,3.8.2021,16,П9,38,Выдано покупателю
68,3.8.2021,18,П1,23,Поступило с производства
69,3.8.2021,19,П13,12,Выдано покупателю
70,3.8.2021,20,П4,19,Поступило с производства
71,3.8.2021,24,П6,49,Поступило с производства
72,3.8.2021,24,П9,34,Выдано покупателю
73,3.8.2021,28,П5,45,Выдано покупателю
74,3.8.2021,30,П5,26,Выдано покупателю
75,3.8.2021,35,П10,43,Выдано покупателю
76,3.8.2021,37,П5,48,Выдано покупателю
77,3.8.2021,39,П11,19,Поступило с производства
78,3.8.2021,40,П13,11,Поступило с производства
79,3.8.2021,41,П15,14,Выдано покупателю
80,3.8.2021,43,П1,42,Выдано покупателю
81,3.8.2021,43,П10,40,Выдано покупателю
82,3.8.2021,43,П9,14,Поступило с производства
83,3.8.2021,44,П10,38,Выдано покупателю
84,3.8.2021,46,П11,40,Выдано покупателю
85,3.8.2021,46,П16,43,Выдано покупателю
86,3.8.2021,47,П1,14,Выдано покупателю
87,3.8.2021,49,П2,11,Поступило с производства
88,3.8.2021,49,П3,21,Выдано покупателю
89,3.8.2021,49,П7,43,Выдано покупателю
90,3.8.2021,51,П8,37,Поступило с производства
91,3.8.2021,54,П15,46,Поступило с производства
92,3.8.2021,55,П10,43,Поступило с производства
93,3.8.2021,57,П11,9,Поступило с производства
94,3.8.2021,57,П4,34,Поступило с производства
95,3.8.2021,57,П6,35,Поступило с производства
96,3.8.2021,59,П12,5,Поступило с производства
97,3.8.2021,59,П16,6,Выдано покупателю
98,3.8.2021,60,П15,23,Поступило с производства
99,3.8.2021,62,П14,23,Поступило с производства
100,3.8.2021,63,П3,34,Поступило с производства
101,3.8.2021,64,П14,7,Выдано покупателю
102,4.8.2021,5,П5,23,Поступило с производства
103,4.8.2021,7,П1,45,Выдано покупателю
104,4.8.2021,14,П6,46,Выдано покупателю
105,4.8.2021,17,П13,27,Выдано покупателю
106,4.8.2021,20,П9,28,Поступило с производства
107,4.8.2021,21,П5,37,Выдано покупателю
108,4.8.2021,32,П15,34,Поступило с производства
109,4.8.2021,32,П7,39,Выдано покупателю
110,4.8.2021,40,П13,35,Выдано покупателю
111,4.8.2021,41,П11,27,Поступило с производства
112,4.8.2021,42,П15,44,Выдано покупателю
113,4.8.2021,42,П3,34,Поступило с производства
114,4.8.2021,42,П4,26,Выдано покупателю
115,4.8.2021,46,П8,30,Выдано покупателю
116,4.8.2021,48,П10,15,Выдано покупателю
117,4.8.2021,49,П16,46,Поступило с производства
118,4.8.2021,52,П1,36,Поступило с производства
119,4.8.2021,52,П7,45,Выдано покупателю
120,4.8.2021,52,П9,22,Выдано покупателю
121,4.8.2021,56,П9,31,Выдано покупателю
122,4.8.2021,57,П11,27,Поступило с производства
123,4.8.2021,57,П13,46,Поступило с производства
124,4.8.2021,59,П1,23,Выдано покупателю
125,4.8.2021,59,П3,33,Выдано покупателю
126,4.8.2021,59,П8,30,Выдано покупателю
127,4.8.2021,61,П8,33,Выдано покупателю
128,4.8.2021,62,П4,44,Поступило с производства
129,5.8.2021,1,П11,17,Поступило с производства
130,5.8.2021,3,П15,37,Выдано покупателю
131,5.8.2021,5,П4,43,Поступило с производства
132,5.8.2021,10,П15,12,Выдано покупателю
133,5.8.2021,12,П10,33,Выдано покупателю
134,5.8.2021,12,П11,29,Выдано покупателю
135,5.8.2021,12,П4,14,Поступило с производства
136,5.8.2021,15,П6,5,Выдано покупателю
137,5.8.2021,15,П8,23,Поступило с производства
138,5.8.2021,20,П3,35,Выдано покупателю
139,5.8.2021,21,П15,15,Выдано покупателю
140,5.8.2021,24,П4,23,Выдано покупателю
141,5.8.2021,26,П12,18,Поступило с производства
142,5.8.2021,28,П5,22,Поступило с производства
143,5.8.2021,31,П3,40,Выдано покупателю
144,5.8.2021,33,П7,48,Поступило с производства
145,5.8.2021,33,П8,25,Поступило с производства
146,5.8.2021,34,П6,10,Поступило с производства
147,5.8.2021,39,П12,38,Поступило с производства
148,5.8.2021,39,П15,5,Выдано покупателю
149,5.8.2021,41,П10,35,Поступило с производства
150,5.8.2021,42,П11,26,Выдано покупателю
151,5.8.2021,49,П5,36,Поступило с производства
152,5.8.2021,49,П6,35,Выдано покупателю
153,5.8.2021,52,П12,12,Поступило с производства
154,5.8.2021,52,П4,28,Поступило с производства
155,5.8.2021,53,П1,20,Поступило с производства
156,5.8.2021,53,П15,26,Поступило с производства
157,5.8.2021,53,П16,45,Поступило с производства
158,5.8.2021,54,П5,36,Поступило с производства
159,5.8.2021,54,П5,20,Выдано покупателю
160,5.8.2021,54,П8,14,Поступило с производства
161,5.8.2021,55,П4,43,Выдано покупателю
162,5.8.2021,57,П15,16,Выдано покупателю
163,5.8.2021,57,П3,7,Поступило с производства
164,5.8.2021,59,П11,26,Выдано покупателю
165,5.8.2021,60,П5,27,Выдано покупателю
166,5.8.2021,61,П15,9,Выдано покупателю
167,5.8.2021,64,П3,24,Выдано покупателю
168,6.8.2021,1,П9,26,Выдано покупателю
169,6.8.2021,4,П14,11,Выдано покупателю
170,6.8.2021,7,П6,50,Поступило с производства
171,6.8.2021,13,П10,20,Выдано покупателю
172,6.8.2021,13,П10,7,Выдано покупателю
173,6.8.2021,13,П4,21,Поступило с производства
174,6.8.2021,15,П7,18,Поступило с производства
175,6.8.2021,16,П2,33,Выдано покупателю
176,6.8.2021,19,П7,30,Поступило с производства
177,6.8.2021,20,П5,16,Поступило с производства
178,6.8.2021,21,П1,20,Выдано покупателю
179,6.8.2021,24,П12,21,Поступило с производства
180,6.8.2021,24,П7,26,Поступило с производства
181,6.8.2021,29,П10,12,Поступило с производства
182,6.8.2021,29,П10,22,Поступило с производства
183,6.8.2021,29,П13,22,Поступило с производства
184,6.8.2021,29,П4,30,Поступило с производства
185,6.8.2021,31,П12,20,Поступило с производства
186,6.8.2021,31,П3,31,Поступило с производства
187,6.8.2021,32,П12,48,Поступило с производства
188,6.8.2021,35,П13,49,Выдано покупателю
189,6.8.2021,36,П8,15,Поступило с производства
190,6.8.2021,36,П9,19,Поступило с производства
191,6.8.2021,39,П10,7,Выдано покупателю
192,6.8.2021,40,П13,50,Поступило с производства
193,6.8.2021,41,П6,38,Поступило с производства
194,6.8.2021,42,П4,40,Выдано покупателю
195,6.8.2021,44,П3,9,Выдано покупателю
196,6.8.2021,44,П9,30,Выдано покупателю
197,6.8.2021,46,П4,41,Поступило с производства
198,6.8.2021,47,П2,22,Поступило с производства
199,6.8.2021,47,П2,36,Поступило с производства
200,6.8.2021,47,П3,10,Выдано покупателю
201,6.8.2021,49,П14,44,Выдано покупателю
202,6.8.2021,50,П15,19,Поступило с производства
203,6.8.2021,50,П5,9,Выдано покупателю
204,6.8.2021,51,П9,42,Выдано покупателю
205,6.8.2021,54,П15,40,Выдано покупателю
